window,sample,report,au_ppb,lon,lat,inside_active_tenure_polygon,nearest_ranked_tenure_clear_cell_km
South Rae / Hearne margin south of MacKay,1274,084080,322.0,-108.27247,62.55127,False,2.88
South Rae / Hearne margin south of MacKay,736,084080,310.0,-108.29456,62.57928,False,2.33
South Rae / Hearne margin south of MacKay,649,084080,236.0,-108.26773,62.57901,False,1.01
South Rae / Hearne margin south of MacKay,1256,084080,212.0,-108.30615,62.55365,False,3.27
South Rae / Hearne margin south of MacKay,1388,084080,210.0,-108.29074,62.55027,False,3.45
South Rae / Hearne margin south of MacKay,217,084080,184.0,-108.26316,62.58692,False,1.49
South Rae / Hearne margin south of MacKay,619,084080,175.0,-108.27771,62.58035,False,1.54
South Rae / Hearne margin south of MacKay,205,084080,168.0,-108.28237,62.58867,False,2.25
South Rae / Hearne margin south of MacKay,1272,084080,168.0,-108.2715,62.55123,False,2.86
South Rae / Hearne margin south of MacKay,1266,084080,150.0,-108.26991,62.5518,False,2.77
South Rae / Hearne margin south of MacKay,11,084080,128.0,-108.2786,62.59751,False,2.9
South Rae / Hearne margin south of MacKay,1814,084080,118.0,-108.29716,62.54514,False,3.3
South Rae / Hearne margin south of MacKay,114,084080,110.0,-108.27648,62.59111,False,2.25
South Rae / Hearne margin south of MacKay,160,084080,110.0,-108.27879,62.58941,False,2.18
South Rae / Hearne margin south of MacKay,1001,084080,110.0,-108.29125,62.56922,False,2.21
South Rae / Hearne margin south of MacKay,843,084080,104.0,-108.27931,62.57501,False,1.5
South Rae / Hearne margin south of MacKay,320,084080,103.0,-108.26112,62.58503,False,1.25
South Rae / Hearne margin south of MacKay,443,084080,96.0,-108.26313,62.58242,False,1.06
South Rae / Hearne margin south of MacKay,214,084080,95.0,-108.26171,62.58686,False,1.45
South Rae / Hearne margin south of MacKay,1391,084080,92.0,-108.29702,62.55054,False,3.63
East Slave Lac de Gras-MacKay-McCrea,J922072,083289,9420.0,-111.52176,63.91144,False,2.04
East Slave Lac de Gras-MacKay-McCrea,922566,083279,1770.0,-111.30367,64.47383,True,5.87
East Slave Lac de Gras-MacKay-McCrea,921311,083372,1680.0,-109.87126,63.85189,True,8.2
East Slave Lac de Gras-MacKay-McCrea,925042,083372,1170.0,-109.81592,63.66835,False,5.82
East Slave Lac de Gras-MacKay-McCrea,922618,083277,1010.0,-109.89357,64.18746,False,2.52
East Slave Lac de Gras-MacKay-McCrea,921135,083358,801.0,-110.47,63.8643,False,1.54
