window,cell_id,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,area_km2,score,tenure_clear,max_au_ppb,au_sample_count,gold_showings_in_cell,drilled_showings_in_cell,advanced_showings_in_cell,nearest_high_au_km,nearest_drilled_or_advanced_km,near_known_core_km
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.90,-111.6,63.9,-111.5,63.95,-111.55,63.925,27.23,69,True,9420.0,3,0,0,0,2.04,19.44,22.34
South Rae / Hearne margin south of MacKay,sr_-108.30_62.55,-108.3,62.55,-108.2,62.6,-108.25,62.575,28.54,68,True,322.0,1256,0,0,0,1.01,53.28,218.76
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_64.00,-111.4,64.0,-111.3,64.05,-111.35,64.025,27.14,67,True,210.0,2,0,0,0,1.64,4.91,7.68
East Slave Lac de Gras-MacKay-McCrea,es_-111.10_63.90,-111.1,63.9,-111.0,63.95,-111.05,63.925,27.23,66,True,585.0,7,0,0,0,1.86,10.71,14.15
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_63.95,-111.0,63.95,-110.9,64.0,-110.95,63.975,27.19,65,True,600.0,5,0,0,0,3.11,10.89,13.11
East Slave Lac de Gras-MacKay-McCrea,es_-109.90_64.15,-109.9,64.15,-109.8,64.2,-109.85,64.175,26.99,65,True,1010.0,5,0,0,0,2.52,41.34,66.04
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.95,-111.6,63.95,-111.5,64.0,-111.55,63.975,27.19,63,True,790.0,1,0,0,0,0.95,16.13,18.71
East Slave Lac de Gras-MacKay-McCrea,es_-110.90_63.90,-110.9,63.9,-110.8,63.95,-110.85,63.925,27.23,63,True,430.0,1,0,0,0,1.41,17.74,20.34
East Slave Lac de Gras-MacKay-McCrea,es_-110.60_63.80,-110.6,63.8,-110.5,63.85,-110.55,63.825,27.33,63,True,785.0,11,0,0,0,1.63,36.12,38.76
South Rae / Hearne margin south of MacKay,sr_-108.40_62.55,-108.4,62.55,-108.3,62.6,-108.35,62.575,28.54,62,True,212.0,144,0,0,0,2.88,48.35,215.46
South Rae / Hearne margin south of MacKay,sr_-108.30_62.50,-108.3,62.5,-108.2,62.55,-108.25,62.525,28.59,62,True,118.0,448,0,0,0,3.12,54.96,223.01
East Slave Lac de Gras-MacKay-McCrea,es_-110.90_63.85,-110.9,63.85,-110.8,63.9,-110.85,63.875,27.28,61,True,325.0,6,0,0,0,0.41,21.19,24.24
East Slave Lac de Gras-MacKay-McCrea,es_-110.60_63.90,-110.6,63.9,-110.5,63.95,-110.55,63.925,27.23,60,True,320.0,5,0,0,0,0.67,31.18,33.03
East Slave Lac de Gras-MacKay-McCrea,es_-110.30_63.95,-110.3,63.95,-110.2,64.0,-110.25,63.975,27.19,60,True,420.0,4,0,0,0,1.25,38.5,45.62
East Slave Lac de Gras-MacKay-McCrea,es_-109.20_63.80,-109.2,63.8,-109.1,63.85,-109.15,63.825,27.33,60,True,195.0,6,0,0,0,2.19,18.17,101.76
