"disposition","owners","good_standing","work_waiting","shape_area_m2"
"S-107251","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-14","No",15994908.9982161
"S-107252","ORANO CANADA INC.: 100.000%","2042-04-14","No",20123808.077217199
"S-107256","ORANO CANADA INC.: 100.000%","2027-05-25","No",21074469.130385801
"S-107257","ORANO CANADA INC.: 100.000%","2027-05-25","No",34654870.074339099
"S-107258","ORANO CANADA INC.: 100.000%","2027-05-25","No",18667618.131570902
"S-107259","ORANO CANADA INC.: 100.000%","2027-05-25","No",13388902.649450799
"S-107260","ORANO CANADA INC.: 100.000%","2027-05-09","No",22632065.843904801
"S-112370","Paladin Canada Inc.: 100.000%","2040-02-20","Yes",580761.118885
"S-107150","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-14","No",17999586.911373101
"S-105700","ORANO CANADA INC.: 100.000%","2043-02-18","No",28737692.865780398
"S-105717","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",29264375.875334799
"S-105718","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",20369069.2561993
"S-105719","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",25480999.293751601
"S-105720","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",21004463.2361224
"S-105721","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",19783776.459832799
"S-105725","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2037-04-29","No",24869921.713359199
"S-112217","Paladin Canada Inc.: 100.000%","2040-03-11","Yes",12021033.534621101
"S-112218","Paladin Canada Inc.: 100.000%","2046-03-12","No",12985315.1253065
"S-112219","Paladin Canada Inc.: 100.000%","2046-03-12","No",9867490.3029426392
"S-112220","Paladin Canada Inc.: 100.000%","2046-03-12","Yes",12190134.5981861
"S-112221","Paladin Canada Inc.: 100.000%","2046-03-12","No",26206612.5101991
"S-112222","Paladin Canada Inc.: 100.000%","2046-03-12","Yes",8455406.4653176405
"S-112282","Paladin Canada Inc.: 100.000%","2046-09-19","No",37890177.910817303
"S-112283","Paladin Canada Inc.: 100.000%","2040-09-19","Yes",10025283.416555099
"S-112284","Paladin Canada Inc.: 100.000%","2046-09-19","No",20212506.291633599
"S-104619","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",14317082.742541
"S-104620","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",14153405.655985299
"S-105697","ORANO CANADA INC.: 100.000%","2043-02-18","No",28063388.445418499
"S-105698","ORANO CANADA INC.: 100.000%","2043-02-18","No",23467466.687851701
"S-104621","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",20023140.022457
"S-104622","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",22432003.867857099
"S-104623","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",22555231.1646396
"S-104625","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",24003225.731830999
"S-104626","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2041-04-28","No",21558488.095402099
"S-111375","Paladin Canada Inc.: 100.000%","2041-09-10","Yes",24930361.357115999
"S-111376","Paladin Canada Inc.: 100.000%","2046-09-10","No",33102565.279589899
"S-111377","Paladin Canada Inc.: 100.000%","2046-09-10","No",16449366.3653269
"S-107308","ORANO CANADA INC.: 100.000%","2043-06-15","No",16638676.8065561
"S-107309","ORANO CANADA INC.: 100.000%","2043-06-15","No",20719456.325466901
"S-107310","ORANO CANADA INC.: 100.000%","2043-06-15","No",28318212.5374543
"S-107311","ORANO CANADA INC.: 100.000%","2043-06-15","No",20983817.5417744
"S-107312","ORANO CANADA INC.: 100.000%","2043-06-15","No",35986959.1620901
"S-107313","ORANO CANADA INC.: 100.000%","2043-06-15","No",28661832.2926769
"S-107317","PUREPOINT URANIUM GROUP INC.: 27.000%;  CAMECO CORPORATION: 73.000%","2032-07-12","No",48507627.105072603
"S-107318","PUREPOINT URANIUM GROUP INC.: 27.000%;  CAMECO CORPORATION: 73.000%","2032-07-12","No",50088666.953338899
"S-107328","ORANO CANADA INC.: 100.000%","2027-09-13","No",8446974.2653641794
"S-110707","Paladin Canada Inc.: 100.000%","2041-06-25","Yes",8116991.7479230398
"S-107330","ORANO CANADA INC.: 100.000%","2027-09-13","No",21381627.631848399
"S-107331","ORANO CANADA INC.: 100.000%","2027-09-13","No",7659756.2222193005
"S-107336","UEX CORPORATION: 49.098%;  ORANO CANADA INC.: 50.902%","2038-01-11","No",1476856.9766168401
"S-107851","F3 Uranium Corp.: 100.000%","2031-02-23","No",3774485.19388024
"S-107852","F3 Uranium Corp.: 100.000%","2028-02-23","No",21018307.1901896
"S-107853","F3 Uranium Corp.: 100.000%","2032-02-23","No",26077981.147300899
"S-110955","Paladin Canada Inc.: 100.000%","2041-08-28","Yes",13273980.383325299
"S-107937","NexGen Energy Ltd.: 100.000%","2047-03-02","No",49594876.4045844
"S-108137","NexGen Energy Ltd.: 100.000%","2047-06-14","No",11152105.507376701
"S-107426","F3 Uranium Corp.: 100.000%","2027-10-18","No",45708648.551486
"S-107432","F3 Uranium Corp.: 100.000%","2030-12-27","No",15995644.3504916
"S-107433","F3 Uranium Corp.: 100.000%","2031-10-18","No",22589786.360021301
"S-107329","ORANO CANADA INC.: 100.000%","2027-09-13","No",3716840.7235973398
"S-108084","NexGen Energy Ltd.: 100.000%","2047-06-14","No",54905504.618538603
"S-106577","ORANO CANADA INC.: 100.000%","2028-02-28","No",18961771.1173786
"S-106578","ORANO CANADA INC.: 100.000%","2028-02-09","No",1529755.37977096
"S-106580","ORANO CANADA INC.: 100.000%","2028-03-15","No",5061874.67443428
"S-106586","ORANO CANADA INC.: 100.000%","2026-04-14","Yes",34561045.6320282
"S-106587","ORANO CANADA INC.: 100.000%","2026-04-14","Yes",37798780.368547201
"S-106589","ORANO CANADA INC.: 100.000%","2026-04-14","Yes",39557611.223545402
"S-106590","ORANO CANADA INC.: 100.000%","2026-04-14","Yes",28308281.500135198
"S-111309","NexGen Energy Ltd.: 100.000%","2045-08-19","No",52954954.815836497
