cell_id,lon_min,lon_max,lat_min,lat_max,center_lon,center_lat,active_bbox_intersections,lapsed_bbox_intersections,lapsed_ids,lapsed_owners,mdi_count,uranium_mdi_count,gold_mdi_count,ree_thorium_mdi_count,base_metal_mdi_count,mdi_names,drillhole_count,rock_sample_count,nearest_anchor,nearest_anchor_km,score,status_note
PLC-184,-109.6,-109.5,57.85,57.9,-109.55,57.875,12,0,,,6,4,1,8,9,4761:Drill hole BR2-6;4765:Drill hole BR-10A;4766:Drill hole BR-14;4767:Drill hole BR-17;4768:Drill hole BR-18;4769:Drill hole BR-21,19,0,JR Zone,5.3,48.97,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-001,-109.9,-109.8,57.25,57.3,-109.85,57.275,0,0,,,0,0,0,0,0,,2,0,Triple R,50,48.79,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-234,-109.1,-109,58,58.05,-109.05,58.025,0,0,,,0,0,0,0,0,,2,0,JR Zone,35.4,48.79,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-026,-108.9,-108.8,57.3,57.35,-108.85,57.325,0,0,,,0,0,0,0,0,,0,8,Spitfire,45.3,48,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-027,-108.8,-108.7,57.3,57.35,-108.75,57.325,0,0,,,0,0,0,0,0,,0,5,Spitfire,48.1,48,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-169,-109.6,-109.5,57.8,57.85,-109.55,57.825,9,0,,,7,4,0,5,21,4743:Drill holes PL0703 & PLN14-011;5268:Drill hole GL-10-10;5848:Drill holes PLN14-010 & PLN14-016;5849:Drill hole PLN14-017;5850:Drill holes PLN14-018 & PLN14-019;5851:Drill hole PLN14-020;5991:JR Zone Uranium Mineralization,28,1,JR Zone,1.6,43,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-010,-109,-108.9,57.25,57.3,-108.95,57.275,0,0,,,0,0,0,0,0,,0,0,Triple R,47.5,40,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-011,-108.9,-108.8,57.25,57.3,-108.85,57.275,0,0,,,0,0,0,0,0,,0,0,Arrow,50.3,40,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-012,-108.8,-108.7,57.25,57.3,-108.75,57.275,0,0,,,0,0,0,0,0,,0,0,Spitfire,52.9,40,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
PLC-013,-108.7,-108.6,57.25,57.3,-108.65,57.275,0,0,,,0,0,0,0,0,,0,0,Spitfire,56,40,No active disposition bbox intersection in this screening grid; verify in MARS before staking.
