dataset,from,to,coupling_score_0_5,note,time_year,heat_power_w_per_m,radial_delta_t_c,canister_surface_temp_c,free_water_diffusion_ratio_vs_25c,nacl_mol_l,osmotic_pressure_mpa,swelling_pressure_max_factor,swelling_pressure_long_term_factor,mx80_di_k_m_s_at_e_0_588,mx80_brine_k_m_s_at_e_0_588,brine_to_di_k_ratio,hs_umol_l,effective_diffusion_m2_s,cu_depth_mm_100kyr,corrosion_current_uA_m2,no_loss_pressure_mpa,pressure_rate_mpa_yr,radionuclide_group,kd_m3_kg,retardation_factor,diffusion_time_year_25c,diffusion_time_year_80c,scenario,indicator,screening_score_1_5
coupling_matrix,T,T,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,T,H,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,T,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,T,C,4,temperature-dependent diffusion/reactions,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,H,T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,H,H,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,H,M,4,pore pressure and saturation control swelling stress,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,H,C,5,sulfide and radionuclide transport,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,M,T,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,M,H,5,swelling/fracture aperture controls permeability,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,M,M,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,M,C,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,C,T,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,C,H,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,C,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupling_matrix,C,C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,0,120.0,36.9293,56.9293,2.0295,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,1,117.7662,36.2419,56.2419,2.0033,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,5,109.4104,33.6704,53.6704,1.9069,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,10,100.1525,30.8214,50.8214,1.803,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,25,78.7249,24.2271,44.2271,1.5739,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,50,57.141,17.5848,37.5848,1.3597,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,75,45.3238,13.9481,33.9481,1.2495,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,100,38.4023,11.8181,31.8181,1.1873,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,200,26.5689,8.1764,28.1764,1.0851,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,500,14.7051,4.5254,24.5254,0.9876,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,1000,9.2138,2.8355,22.8355,0.9443,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,5000,2.2665,0.6975,20.6975,0.891,,,,,,,,,,,,,,,,,,,,,
thermal_decay,,,,,10000,0.4281,0.1317,20.1317,0.8772,,,,,,,,,,,,,,,,,,,,,
salinity_swelling,,,,,,,,,,0.0,0.0,1.0,1.0,8.654e-15,1.849e-12,213.6,,,,,,,,,,,,,,
salinity_swelling,,,,,,,,,,0.01,0.0496,0.9,0.85,8.654e-15,1.849e-12,213.6,,,,,,,,,,,,,,
salinity_swelling,,,,,,,,,,0.1,0.4958,0.65,0.55,8.654e-15,1.849e-12,213.6,,,,,,,,,,,,,,
salinity_swelling,,,,,,,,,,0.3,1.4874,0.45,0.3,8.654e-15,1.849e-12,213.6,,,,,,,,,,,,,,
salinity_swelling,,,,,,,,,,1.0,4.9579,0.3,0.1,8.654e-15,1.849e-12,213.6,,,,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,1,1.0e-12,0.00013,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,3,1.0e-12,0.00038,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,10,1.0e-12,0.00128,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,30,1.0e-12,0.00384,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,100,1.0e-12,0.01279,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,120,1.0e-12,0.01535,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,1,1.0e-11,0.00128,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,3,1.0e-11,0.00384,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,10,1.0e-11,0.01279,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,30,1.0e-11,0.03837,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,100,1.0e-11,0.12789,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,120,1.0e-11,0.15347,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,1,1.0e-10,0.01279,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,3,1.0e-10,0.03837,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,10,1.0e-10,0.12789,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,30,1.0e-10,0.38368,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,100,1.0e-10,1.27893,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,120,1.0e-10,1.53471,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,1,3.0e-10,0.03837,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,3,3.0e-10,0.1151,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,10,3.0e-10,0.38368,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,30,3.0e-10,1.15104,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,100,3.0e-10,3.83678,,,,,,,,,,,
sulfide_corrosion,,,,,,,,,,,,,,,,,120,3.0e-10,4.60414,,,,,,,,,,,
h2_pressure,,,,,0,,,,,,,,,,,,,,,0.1,0.0,4.08e-05,,,,,,,,
h2_pressure,,,,,100,,,,,,,,,,,,,,,0.1,0.0041,4.08e-05,,,,,,,,
h2_pressure,,,,,250,,,,,,,,,,,,,,,0.1,0.0102,4.08e-05,,,,,,,,
h2_pressure,,,,,500,,,,,,,,,,,,,,,0.1,0.0204,4.08e-05,,,,,,,,
h2_pressure,,,,,1000,,,,,,,,,,,,,,,0.1,0.0408,4.08e-05,,,,,,,,
h2_pressure,,,,,2000,,,,,,,,,,,,,,,0.1,0.0816,4.08e-05,,,,,,,,
h2_pressure,,,,,5000,,,,,,,,,,,,,,,0.1,0.204,4.08e-05,,,,,,,,
h2_pressure,,,,,0,,,,,,,,,,,,,,,1.0,0.0,0.0004079,,,,,,,,
h2_pressure,,,,,100,,,,,,,,,,,,,,,1.0,0.0408,0.0004079,,,,,,,,
h2_pressure,,,,,250,,,,,,,,,,,,,,,1.0,0.102,0.0004079,,,,,,,,
h2_pressure,,,,,500,,,,,,,,,,,,,,,1.0,0.204,0.0004079,,,,,,,,
h2_pressure,,,,,1000,,,,,,,,,,,,,,,1.0,0.4079,0.0004079,,,,,,,,
h2_pressure,,,,,2000,,,,,,,,,,,,,,,1.0,0.8158,0.0004079,,,,,,,,
h2_pressure,,,,,5000,,,,,,,,,,,,,,,1.0,2.0396,0.0004079,,,,,,,,
h2_pressure,,,,,0,,,,,,,,,,,,,,,10.0,0.0,0.0040791,,,,,,,,
h2_pressure,,,,,100,,,,,,,,,,,,,,,10.0,0.4079,0.0040791,,,,,,,,
h2_pressure,,,,,250,,,,,,,,,,,,,,,10.0,1.0198,0.0040791,,,,,,,,
h2_pressure,,,,,500,,,,,,,,,,,,,,,10.0,2.0396,0.0040791,,,,,,,,
h2_pressure,,,,,1000,,,,,,,,,,,,,,,10.0,4.0791,0.0040791,,,,,,,,
h2_pressure,,,,,2000,,,,,,,,,,,,,,,10.0,8.1583,0.0040791,,,,,,,,
h2_pressure,,,,,5000,,,,,,,,,,,,,,,10.0,20.3957,0.0040791,,,,,,,,
radionuclide_diffusion,,,,,,,,,,,,,,,,,,,,,,,I-129 / TcO4,0.0,1.0,38.8,12.9,,,
radionuclide_diffusion,,,,,,,,,,,,,,,,,,,,,,,Sr / Cs,0.01,49.57,1924.3,640.4,,,
radionuclide_diffusion,,,,,,,,,,,,,,,,,,,,,,,U / Np,0.03,146.71,5695.1,1895.3,,,
radionuclide_diffusion,,,,,,,,,,,,,,,,,,,,,,,Pu / Am,0.1,486.71,18893.2,6287.5,,,
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,high salinity,swelling,5
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,high salinity,Cu corrosion,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,high salinity,gas,1
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,high salinity,nuclide flux,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,high salinity,fracture flow,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfide pulse,swelling,1
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfide pulse,Cu corrosion,5
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfide pulse,gas,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfide pulse,nuclide flux,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfide pulse,fracture flow,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2 build-up,swelling,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2 build-up,Cu corrosion,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2 build-up,gas,5
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2 build-up,nuclide flux,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2 build-up,fracture flow,4
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal peak,swelling,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal peak,Cu corrosion,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal peak,gas,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal peak,nuclide flux,4
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal peak,fracture flow,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,glacial boundary,swelling,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,glacial boundary,Cu corrosion,3
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,glacial boundary,gas,2
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,glacial boundary,nuclide flux,4
scenario_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,glacial boundary,fracture flow,5
