scenario,x_m,pH,total_so4_m,total_uo2_m,total_hco3_m,total_ca_m,calcite_vf
calcite_buffered,0.5,3.242851,0.005,1.000001e-06,0.0002351268,0.0002351269,0.0
calcite_buffered,1.5,8.106418,0.005,1e-06,0.001098724,0.001098724,0.0009865308
calcite_buffered,2.5,8.117934,0.005,1e-06,0.001099616,0.001099616,0.0009999842
calcite_buffered,3.5,8.117946,0.005,1e-06,0.001099617,0.001099617,0.0009999979
calcite_buffered,4.5,8.117946,0.005,1e-06,0.001099617,0.001099617,0.0009999972
calcite_buffered,5.5,8.117946,0.005,9.999999e-07,0.001099617,0.001099617,0.0009999963
calcite_buffered,6.5,8.117946,0.005,9.999999e-07,0.001099617,0.001099617,0.0009999956
calcite_buffered,7.5,8.117946,0.005,9.999999e-07,0.001099617,0.001099617,0.0009999951
calcite_buffered,8.5,8.117946,0.004999999,9.999999e-07,0.001099617,0.001099617,0.0009999949
calcite_buffered,9.5,8.117946,0.004999999,9.999999e-07,0.001099617,0.001099617,0.0009999947
calcite_buffered,10.5,8.117946,0.004999999,9.999999e-07,0.001099617,0.001099617,0.0009999946
calcite_buffered,11.5,8.117946,0.004999999,9.999999e-07,0.001099617,0.001099617,0.0009999946
calcite_buffered,12.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999947
calcite_buffered,13.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999948
calcite_buffered,14.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999949
calcite_buffered,15.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.000999995
calcite_buffered,16.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999952
calcite_buffered,17.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999953
calcite_buffered,18.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999955
calcite_buffered,19.5,8.117946,0.004999999,9.999998e-07,0.001099617,0.001099617,0.0009999956
calcite_buffered,20.5,8.117946,0.004999999,9.999997e-07,0.001099617,0.001099617,0.0009999957
calcite_buffered,21.5,8.117946,0.004999999,9.999997e-07,0.001099617,0.001099617,0.0009999959
calcite_buffered,22.5,8.117946,0.004999999,9.999997e-07,0.001099617,0.001099617,0.000999996
calcite_buffered,23.5,8.117946,0.004999998,9.999997e-07,0.001099617,0.001099617,0.0009999961
calcite_buffered,24.5,8.117946,0.004999998,9.999997e-07,0.001099617,0.001099617,0.0009999962
calcite_buffered,25.5,8.117946,0.004999998,9.999997e-07,0.001099617,0.001099617,0.0009999963
calcite_buffered,26.5,8.117946,0.004999998,9.999997e-07,0.001099617,0.001099617,0.0009999963
calcite_buffered,27.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999964
calcite_buffered,28.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999965
calcite_buffered,29.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999965
calcite_buffered,30.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999966
calcite_buffered,31.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999967
calcite_buffered,32.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999967
calcite_buffered,33.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999968
calcite_buffered,34.5,8.117946,0.004999998,9.999996e-07,0.001099617,0.001099617,0.0009999968
calcite_buffered,35.5,8.117946,0.004999998,9.999995e-07,0.001099617,0.001099617,0.0009999968
calcite_buffered,36.5,8.117946,0.004999998,9.999995e-07,0.001099617,0.001099617,0.0009999969
calcite_buffered,37.5,8.117946,0.004999997,9.999995e-07,0.001099617,0.001099617,0.0009999969
calcite_buffered,38.5,8.117946,0.004999997,9.999994e-07,0.001099617,0.001099617,0.000999997
calcite_buffered,39.5,8.117946,0.004999997,9.999994e-07,0.001099617,0.001099617,0.000999997
