sulfide_reactivity_norm,carbonate_buffer_norm,acid_buffer_index
0.1,0.1,1.0
0.3,0.1,2.9999999999999996
1.0,0.1,10.0
3.0,0.1,30.0
10.0,0.1,100.0
0.1,0.3,0.33333333333333337
0.3,0.3,1.0
1.0,0.3,3.3333333333333335
3.0,0.3,10.0
10.0,0.3,33.333333333333336
0.1,1.0,0.1
0.3,1.0,0.3
1.0,1.0,1.0
3.0,1.0,3.0
10.0,1.0,10.0
0.1,3.0,0.03333333333333333
0.3,3.0,0.09999999999999999
1.0,3.0,0.3333333333333333
3.0,3.0,1.0
10.0,3.0,3.3333333333333335
0.1,10.0,0.01
0.3,10.0,0.03
1.0,10.0,0.1
3.0,10.0,0.3
10.0,10.0,1.0
