sample_id,scenario,type,temperature_c,pH,pe,alkalinity_mg_l_as_caco3,Ca_mg_l,Mg_mg_l,Na_mg_l,K_mg_l,Cl_mg_l,SO4_mg_l,Ba_mg_l,Sr_mg_l,Fe_mg_l,Mn_mg_l,U_mg_l,Ra226_Bq_l,Ra_mg_l,ionic_strength_proxy,tailings_signature_score,u_carbonate_redox_score,ra_sulfate_ba_sr_score
OX-CARB-01,shallow oxidizing carbonate groundwater,oxidizing carbonate,10.0,7.85,8.0,245.0,72.0,24.0,58.0,3.2,34.0,42.0,0.025,0.42,0.015,0.008,0.085,0.08,2.1872279712844688e-09,0.23,0.15330197291192216,1.0,0.18896884880410508
RED-BRINE-01,deep reducing saline fracture groundwater,reducing brine,18.0,7.25,-3.0,155.0,185.0,78.0,820.0,18.0,1450.0,8.0,0.18,3.8,1.6,0.42,0.0015,0.95,2.5973332159003063e-08,2.541,0.55,0.2801679212507239,0.55
TAIL-SO4-01,tailings-influenced high-sulfate seepage,tailings sulfate,12.0,6.75,4.2,88.0,285.0,112.0,135.0,8.4,165.0,1040.0,0.018,2.6,0.34,0.23,0.044,0.32,8.748911885137875e-09,1.737,0.7704104722783187,0.22909090909090907,0.6983101920418918
MIX-TAIL-01,oxidizing carbonate mixed with tailings sulfate (10% second end-member),mixing path,10.2,7.739999999999999,7.62,229.3,93.3,32.800000000000004,65.7,3.7200000000000006,47.1,141.8,0.024300000000000002,0.638,0.0475,0.030200000000000005,0.08090000000000001,0.10400000000000001,2.8433963626698096e-09,0.38070000000000004,0.36910406398290396,0.922909090909091,0.355319519152694
MIX-TAIL-02,oxidizing carbonate mixed with tailings sulfate (25% second end-member),mixing path,10.5,7.574999999999999,7.05,205.75,125.25,46.0,77.25,4.5,66.75,291.5,0.023250000000000003,0.9650000000000001,0.09625,0.0635,0.07475,0.14,3.827648949747821e-09,0.60675,0.5072670619029201,0.8072727272727273,0.473506498038631
MIX-TAIL-03,oxidizing carbonate mixed with tailings sulfate (50% second end-member),mixing path,11.0,7.3,6.1,166.5,178.5,68.0,96.5,5.800000000000001,99.5,541.0,0.0215,1.51,0.17750000000000002,0.11900000000000001,0.0645,0.2,5.468069928211172e-09,0.9835,0.6324845017306344,0.6145454545454546,0.583164760097074
MIX-TAIL-04,oxidizing carbonate mixed with tailings sulfate (75% second end-member),mixing path,11.5,7.025,5.15,127.25,231.75,90.0,115.75,7.1000000000000005,132.25,790.5,0.019749999999999997,2.055,0.25875,0.17450000000000002,0.05425000000000001,0.26,7.108490906674524e-09,1.36025,0.7119234256139318,0.42181818181818187,0.6509829036408815
MIX-TAIL-05,oxidizing carbonate mixed with tailings sulfate (90% second end-member),mixing path,11.8,6.86,4.58,103.69999999999999,263.7,103.2,127.3,7.880000000000001,151.9,940.2,0.018699999999999998,2.382,0.30750000000000005,0.2078,0.0481,0.29600000000000004,8.092743493752536e-09,1.5863000000000003,0.7488105149026372,0.3061818181818181,0.6811979401621291
MIX-RED-01,oxidizing carbonate mixed with reducing brine (10% second end-member),mixing path,10.8,7.789999999999999,6.9,236.0,83.3,29.400000000000002,134.2,4.680000000000001,175.6,38.6,0.0405,0.758,0.17350000000000004,0.0492,0.07665000000000001,0.167,4.565838390056329e-09,0.4611,0.4070567051214078,0.9280167921250724,0.31396483410298603
MIX-RED-02,oxidizing carbonate mixed with reducing brine (25% second end-member),mixing path,12.0,7.699999999999999,5.25,222.5,100.25,37.5,248.5,6.9,388.0,33.5,0.06375,1.265,0.41125,0.111,0.064125,0.2975,8.133754018214118e-09,0.80775,0.5039017083962734,0.8200419803126809,0.41987892952829997
MIX-RED-03,oxidizing carbonate mixed with reducing brine (50% second end-member),mixing path,14.0,7.55,2.5,200.0,128.5,51.0,439.0,10.6,742.0,25.0,0.1025,2.11,0.8075,0.214,0.043250000000000004,0.515,1.4080280065143768e-08,1.3855,0.5650051325780943,0.6400839606253619,0.5140693101603726
MIX-RED-04,oxidizing carbonate mixed with reducing brine (75% second end-member),mixing path,16.0,7.4,-0.25,177.5,156.75,64.5,629.5,14.3,1096.0,16.5,0.14125000000000001,2.9549999999999996,1.20375,0.317,0.022375000000000003,0.7324999999999999,2.0026806112073413e-08,1.96325,0.5792502512502558,0.4601259409380429,0.5563479247683067
MIX-RED-05,oxidizing carbonate mixed with reducing brine (90% second end-member),mixing path,17.2,7.3100000000000005,-1.9000000000000004,164.0,173.7,72.60000000000001,743.8,16.52,1308.4,11.399999999999999,0.1645,3.4619999999999997,1.4415000000000002,0.3788,0.00985,0.863,2.3594721740231206e-08,2.3099000000000003,0.5689197995555383,0.35215112912565144,0.5602778012307307
