species,nuclide_group,best_kd_m3_kg,retardation_factor_R,lower_R,upper_R,effective_diffusivity_m2_s,effective_diffusivity_m2_y,diffusion_depth_m_1000y,diffusion_depth_m_10000y,diffusion_depth_m_100000y,source
U(IV),U,0.0529,79351.00000000001,4261.0,1476001.0000000002,1.9952623149688828e-14,6.296569003086202e-07,8.907909197955266e-05,0.0002816928225550236,0.0008907909197955266,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
U(VI),U,0.000106,160.0,9.295000000000002,3076.0,1.9952623149688828e-14,6.296569003086202e-07,0.00198377307848677,0.006273241288942165,0.0198377307848677,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Ra(II),Ra,0.000242,364.0,59.050000000000004,2266.0,1.9952623149688828e-14,6.296569003086202e-07,0.0013152287440591868,0.004159118475349681,0.013152287440591867,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Th(IV),Th,0.0529,79351.00000000001,4261.0,1476001.0000000002,1.9952623149688828e-14,6.296569003086202e-07,8.907909197955266e-05,0.0002816928225550236,0.0008907909197955266,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Np(IV),Np,0.0529,79351.00000000001,4261.0,1476001.0000000002,1.9952623149688828e-14,6.296569003086202e-07,8.907909197955266e-05,0.0002816928225550236,0.0008907909197955266,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Np(V),Np,0.000413,620.5,23.200000000000003,17251.0,1.9952623149688828e-14,6.296569003086202e-07,0.0010073516233189963,0.003185525534356014,0.010073516233189962,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Pu(III),Pu,0.0148,22201.0,861.9999999999999,574501.0,1.9952623149688828e-14,6.296569003086202e-07,0.00016840916211925276,0.0005325565311373879,0.0016840916211925275,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Pu(IV),Pu,0.0529,79351.00000000001,4261.0,1476001.0000000002,1.9952623149688828e-14,6.296569003086202e-07,8.907909197955266e-05,0.0002816928225550236,0.0008907909197955266,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Am(III),Am,0.0148,22201.0,861.9999999999999,574501.0,1.9952623149688828e-14,6.296569003086202e-07,0.00016840916211925276,0.0005325565311373879,0.0016840916211925275,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
I(-I),I-129,0.0,1.0,1.0,1.0,6.309573444801943e-15,1.9911499494168178e-07,0.014110811278650204,0.04462230327332754,0.14110811278650204,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Tc(IV),Tc-99,0.0529,79351.00000000001,4261.0,1476001.0000000002,1.9952623149688828e-14,6.296569003086202e-07,8.907909197955266e-05,0.0002816928225550236,0.0008907909197955266,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Tc(VII),Tc-99,0.0,1.0,1.0,1.0,6.309573444801943e-15,1.9911499494168178e-07,0.014110811278650204,0.04462230327332754,0.14110811278650204,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Se(-II/IV/VI),Se-79,0.000295,443.5,38.5,5221.000000000001,6.309573444801943e-15,1.9911499494168178e-07,0.0006700468524931095,0.0021188741929050975,0.0067004685249310945,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Cs(I),Cs-137,0.000349,524.5,52.900000000000006,5281.0,1.9952623149688828e-14,6.296569003086202e-07,0.0010956686544744039,0.0034648085089911546,0.010956686544744038,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
Sr(II),Sr-90,3.42e-06,6.13,1.0576,458.5,1.9952623149688828e-14,6.296569003086202e-07,0.010134953169287832,0.03204953599409162,0.1013495316928783,derived from SKB_R_10_48 Kd and SKB_TR_10_50 porosity/diffusivity
