Facility Name,Station ID,Sample Code,Latitude,Longitude,Year,Sample Type,Sample Description,Parameter,Result,Guideline/Screening Levels
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Arsenic,0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Copper,0.35 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Selenium,0.28 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Zinc,5.6 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Polonium-210,2.4 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01A,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Arsenic,<0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Copper,0.16 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead,0.004 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Selenium,0.22 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Zinc,5.4 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Polonium-210,3.1 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01B,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Arsenic,<0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Copper,0.13 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Selenium,0.23 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Uranium,0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Zinc,3.9 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Polonium-210,3.6 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F01C,58.058,-104.405,2020.0,Food,Fish - Northern Pike,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Arsenic,0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Copper,0.14 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Selenium,0.81 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Zinc,2.6 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Polonium-210,1.9 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02A,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Arsenic,0.02 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Copper,0.22 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Selenium,0.62 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Zinc,3 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Polonium-210,3.8 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Arsenic,0.02 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Copper,0.28 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Selenium,0.48 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Zinc,3.5 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Polonium-210,0.4 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Arsenic,0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Copper,0.28 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Lead,0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Nickel,0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Selenium,0.3 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
