sim,state,soln,time,pH,pe,mu,S(6),Ca,Mg,K,Al,Si,C,Fe,k_Pyrite_Acid,dk_Pyrite_Acid,k_Anorthite_Kin,dk_Anorthite_Kin,k_Kmica_Kin,dk_Kmica_Kin,k_Chlorite_Kin,dk_Chlorite_Kin,k_Biotite_Kin,dk_Biotite_Kin,k_Dolomite_Kin,dk_Dolomite_Kin,scenario,week
1,i_soln,1,-99,7,8,1.01253e-07,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,
1,react,1,604800,4.24218,16.3063,8.67277e-05,2.9013e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1985e-02,-1.4506e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,1
1,react,1,1.2096e+06,3.94434,16.6041,0.00017276,5.7991e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1971e-02,-2.8995e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,2
1,react,1,1.8144e+06,3.77096,16.7775,0.000258131,8.6933e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1957e-02,-4.3467e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,3
1,react,1,2.4192e+06,3.64845,16.9,0.000342868,1.1584e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1942e-02,-5.7921e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,4
1,react,1,3.024e+06,3.55379,16.9947,0.000426995,1.4471e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1928e-02,-7.2357e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,5
1,react,1,3.6288e+06,3.47673,17.0718,0.000510531,1.7355e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1913e-02,-8.6776e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,6
1,react,1,4.2336e+06,3.41179,17.1367,0.000593496,2.0235e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1899e-02,-1.0118e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,7
1,react,1,4.8384e+06,3.35572,17.1928,0.000675906,2.3112e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1884e-02,-1.1556e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,8
1,react,1,5.4432e+06,3.30642,17.2421,0.000757778,2.5986e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1870e-02,-1.2993e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,acid_only_accessible_pyrite,9
